URL,is_error,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_84_V_TC_46/1332,4277,3455,172/pct:40/0/default.jpg",,269,84 V,1332,4277,3455,172,
"https://stacks.stanford.edu/image/iiif/wk321dt4676%2F094_124_V_TC_46/2867,927,630,160/pct:40/0/default.jpg",,94,124 V,2867,927,630,160,
"https://stacks.stanford.edu/image/iiif/qm817bv7839%2F400_145_R_TC_46/292,457,1555,320/pct:40/0/default.jpg",,400,145 R,292,457,1555,320,
"https://stacks.stanford.edu/image/iiif/zm232zn2115%2F160_60_R_TC_46/347,4270,1187,150/pct:40/0/default.jpg",,160,60 R,347,4270,1187,150,
"https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_250_V_TC_46/3540,1100,500,112/pct:40/0/default.jpg",,484,250 V,3540,1100,500,112,
"https://stacks.stanford.edu/image/iiif/kb304wh5721%2F327_211_V_TC_46/1385,2615,617,90/pct:40/0/default.jpg",,327,211 V,1385,2615,617,90,
"https://stacks.stanford.edu/image/iiif/vd280pd3953%2F052_100_V_TC_46/1267,1530,1785,122/pct:40/0/default.jpg",,52,100 V,1267,1530,1785,122,
"https://stacks.stanford.edu/image/iiif/my719tj3506%2F031_55_R_TC_46/3792,2375,397,135/pct:40/0/default.jpg",,31,55 R,3792,2375,397,135,
"https://stacks.stanford.edu/image/iiif/nm455rd6672%2F054_102_R_TC_46/3095,3470,1160,162/pct:40/0/default.jpg",,54,102 R,3095,3470,1160,162,
"https://stacks.stanford.edu/image/iiif/gc974js8368%2F135_110_V_TC_46/3757,5730,722,175/pct:40/0/default.jpg",,135,110 V,3757,5730,722,175,
"https://stacks.stanford.edu/image/iiif/vx000hq8392%2F275_188_R_TC_46/222,2327,787,87/pct:40/0/default.jpg",,275,188 R,222,2327,787,87,
"https://stacks.stanford.edu/image/iiif/bj009wm8755%2F111_108_TC_46/4132,1427,1265,257/pct:40/0/default.jpg",,111,108,4132,1427,1265,257,
"https://stacks.stanford.edu/image/iiif/cg742qv0435%2F328_146_TC_46/2107,4055,702,197/pct:40/0/default.jpg",,328,146,2107,4055,702,197,
"https://stacks.stanford.edu/image/iiif/vd280pd3953%2F052_147_V_TC_46/2512,6532,415,110/pct:40/0/default.jpg",,52,147 V,2512,6532,415,110,
"https://stacks.stanford.edu/image/iiif/rg420yp8320%2F373_64_V_TC_46/1830,2767,3165,242/pct:40/0/default.jpg",,373,64 V,1830,2767,3165,242,
"https://stacks.stanford.edu/image/iiif/gc974js8368%2F135_117_R_TC_46/1377,5370,477,175/pct:40/0/default.jpg",,135,117 R,1377,5370,477,175,
"https://stacks.stanford.edu/image/iiif/zm232zn2115%2F160_61_R_TC_46/240,4705,1280,140/pct:40/0/default.jpg",,160,61 R,240,4705,1280,140,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_225_V_TC_46/1620,3152,340,80/pct:40/0/default.jpg",,55,225 V,1620,3152,340,80,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_240_R_TC_46/3345,5680,570,97/pct:40/0/default.jpg",,75,240 R,3345,5680,570,97,
"https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_513_R_TC_46/687,4407,680,110/pct:40/0/default.jpg",,484,513 R,687,4407,680,110,
"https://stacks.stanford.edu/image/iiif/rf352tc5448%2F026_050_V_TC_46/4575,925,592,105/pct:40/0/default.jpg",,26,50 V,4575,925,592,105,
"https://stacks.stanford.edu/image/iiif/xv032gf3763%2F310_146_V_TC_46/2777,2825,860,90/pct:40/0/default.jpg",,310,146 V,2777,2825,860,90,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_276_R_TC_46/3660,4152,582,125/pct:40/0/default.jpg",,16II,276 R,3660,4152,582,125,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_076_R_TC_46/2642,3712,250,95/pct:40/0/default.jpg",,75,76 R,2642,3712,250,95,
"https://stacks.stanford.edu/image/iiif/rf713dy4795%2F484_216_R_TC_46/2880,52,450,147/pct:40/0/default.jpg",,484,216 R,2880,52,450,147,
"https://stacks.stanford.edu/image/iiif/sp968bx9690%2F050_65_R_TC_46/3240,6797,640,160/pct:40/0/default.jpg",,50,65 R,3240,6797,640,160,
"https://stacks.stanford.edu/image/iiif/dw493fs0065%2F163_98_TC_46/1285,3310,3792,232/pct:40/0/default.jpg",,163,98,1285,3310,3792,232,
"https://stacks.stanford.edu/image/iiif/qy662bj1544%2F049_14_R_TC_46/3535,3545,282,102/pct:40/0/default.jpg",,49,14 R,3535,3545,282,102,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_159_R_TC_46/3867,655,762,112/pct:40/0/default.jpg",,16II,159 R,3867,655,762,112,
"https://stacks.stanford.edu/image/iiif/xv032gf3763%2F310_072_V_TC_46/2390,705,877,87/pct:40/0/default.jpg",,310,72 V,2390,705,877,87,
"https://stacks.stanford.edu/image/iiif/sp968bx9690%2F050_160_V_TC_46/4037,4165,512,172/pct:40/0/default.jpg",,50,160 V,4037,4165,512,172,
"https://stacks.stanford.edu/image/iiif/yw579bn5109%2F130_137_V_TC_46/3515,4090,242,102/pct:40/0/default.jpg",,130,137 V,3515,4090,242,102,
"https://stacks.stanford.edu/image/iiif/tn930ym5616%2F628_018_V_TC_46/1337,2830,825,115/pct:40/0/default.jpg",,628,18 V,1337,2830,825,115,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_110_R_TC_46/1182,4547,510,70/pct:40/0/default.jpg",,55,110 R,1182,4547,510,70,
"https://stacks.stanford.edu/image/iiif/bp218ym5464%2F308_111_TC_46/752,4595,2375,135/pct:40/0/default.jpg",,308,111,752,4595,2375,135,
"https://stacks.stanford.edu/image/iiif/ty948rv7120%2F009_182_V_TC_46/2367,6412,1147,182/pct:40/0/default.jpg",,9,182 V,2367,6412,1147,182,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_356_R_TC_46/1195,6642,995,107/pct:40/0/default.jpg",,10,356 R,1195,6642,995,107,
"https://stacks.stanford.edu/image/iiif/zm232zn2115%2F160_98_R_TC_46/1627,837,1245,145/pct:40/0/default.jpg",,160,98 R,1627,837,1245,145,
"https://stacks.stanford.edu/image/iiif/ck580gj8781%2F231_013_V_TC_46/1060,1655,2217,152/pct:40/0/default.jpg",,231,13 V,1060,1655,2217,152,
"https://stacks.stanford.edu/image/iiif/wp309nt7987%2F065_34_R_TC_46/1127,807,1372,167/pct:40/0/default.jpg",,65,34 R,1127,807,1372,167,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_228_R_TC_46/1200,4070,200,72/pct:40/0/default.jpg",,55,228 R,1200,4070,200,72,
"https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_11_V_TC_46/1455,5095,3610,162/pct:40/0/default.jpg",,269,11 V,1455,5095,3610,162,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_126_R_TC_46/2700,2022,307,87/pct:40/0/default.jpg",,75,126 R,2700,2022,307,87,
"https://stacks.stanford.edu/image/iiif/wz774ws7198%2F092_133_V_TC_46/1430,4845,1677,150/pct:40/0/default.jpg",,92,133 V,1430,4845,1677,150,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_191_V_TC_46/4007,6772,1305,120/pct:40/0/default.jpg",,10,191 V,4007,6772,1305,120,
"https://stacks.stanford.edu/image/iiif/sc624xj6187%2F356_064_V_TC_46/2030,4680,552,160/pct:40/0/default.jpg",,356,64 V,2030,4680,552,160,
"https://stacks.stanford.edu/image/iiif/xr745mn3815%2F480_151_R_TC_46/225,2657,890,112/pct:40/0/default.jpg",,480,151 R,225,2657,890,112,
"https://stacks.stanford.edu/image/iiif/vd280pd3953%2F052_104_R_TC_46/4167,5840,387,122/pct:40/0/default.jpg",,52,104 R,4167,5840,387,122,
"https://stacks.stanford.edu/image/iiif/my719tj3506%2F031_187_V_TC_46/3737,3362,527,137/pct:40/0/default.jpg",,31,187 V,3737,3362,527,137,
"https://stacks.stanford.edu/image/iiif/xd956wx5361%2F022_xvi_R_TC_46/3275,5945,1482,95/pct:40/0/default.jpg",,22,xvi R,3275,5945,1482,95,
"https://stacks.stanford.edu/image/iiif/bp835wh7799%2F361_025_V_TC_46/417,5390,2950,207/pct:40/0/default.jpg",,361,25 V,417,5390,2950,207,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_198_V_TC_46/3085,4780,467,80/pct:40/0/default.jpg",,55,198 V,3085,4780,467,80,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_074_V_TC_46/3787,4425,635,92/pct:40/0/default.jpg",,75,74 V,3787,4425,635,92,
"https://stacks.stanford.edu/image/iiif/rb296hb9129%2F214_027_V_TC_46/2300,3227,345,122/pct:40/0/default.jpg",,214,27 V,2300,3227,345,122,
"https://stacks.stanford.edu/image/iiif/jm097by4127%2F511_003_V_TC_46/3740,1562,532,117/pct:40/0/default.jpg",,511,3 V,3740,1562,532,117,
"https://stacks.stanford.edu/image/iiif/rf352tc5448%2F026_124_V_TC_46/2230,5422,835,105/pct:40/0/default.jpg",,26,124 V,2230,5422,835,105,
"https://stacks.stanford.edu/image/iiif/qt808nj0703%2F016II_085_V_TC_46/4987,5182,520,107/pct:40/0/default.jpg",,16II,85 V,4987,5182,520,107,
"https://stacks.stanford.edu/image/iiif/sp968bx9690%2F050_148_V_TC_46/1375,2940,1212,145/pct:40/0/default.jpg",,50,148 V,1375,2940,1212,145,
"https://stacks.stanford.edu/image/iiif/jv228wq5037%2F385_246_TC_46/2745,3460,1047,125/pct:40/0/default.jpg",,385,246,2745,3460,1047,125,
"https://stacks.stanford.edu/image/iiif/rs890dd0432%2F191_031_TC_46/170,4362,1810,165/pct:40/0/default.jpg",,191,31,170,4362,1810,165,
"https://stacks.stanford.edu/image/iiif/jc891dg8213%2F252_131_R_TC_46/410,1807,3907,175/pct:40/0/default.jpg",,252,131 R,410,1807,3907,175,
"https://stacks.stanford.edu/image/iiif/rf352tc5448%2F026_140_R_TC_46/3410,3807,820,100/pct:40/0/default.jpg",,26,140 R,3410,3807,820,100,
"https://stacks.stanford.edu/image/iiif/vd280pd3953%2F052_174_R_TC_46/2775,910,1830,120/pct:40/0/default.jpg",,52,174 R,2775,910,1830,120,
"https://stacks.stanford.edu/image/iiif/my719tj3506%2F031_178_R_TC_46/2210,3375,312,125/pct:40/0/default.jpg",,31,178 R,2210,3375,312,125,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_256_V_TC_46/2897,6660,530,100/pct:40/0/default.jpg",,75,256 V,2897,6660,530,100,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_123_R_TC_46/2975,2667,340,75/pct:40/0/default.jpg",,55,123 R,2975,2667,340,75,
"https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_194_R_TC_46/855,3125,3575,180/pct:40/0/default.jpg",,269,194 R,855,3125,3575,180,
"https://stacks.stanford.edu/image/iiif/wn160sd8740%2F273_63_V_TC_46/3945,5195,847,150/pct:40/0/default.jpg",,273,63 V,3945,5195,847,150,
"https://stacks.stanford.edu/image/iiif/nd020zt5485%2F131_38_V_TC_46/2082,2907,1140,167/pct:40/0/default.jpg",,131,38 V,2082,2907,1140,167,
"https://stacks.stanford.edu/image/iiif/sb986nn5729%2F136_101_R_TC_46/200,1760,2567,95/pct:40/0/default.jpg",,136,101 R,200,1760,2567,95,
"https://stacks.stanford.edu/image/iiif/hg483cz7854%2F055_232_V_TC_46/2262,3017,447,75/pct:40/0/default.jpg",,55,232 V,2262,3017,447,75,
"https://stacks.stanford.edu/image/iiif/wq149yj5620%2F438_057_R_TC_46/1052,670,457,112/pct:40/0/default.jpg",,438,57 R,1052,670,457,112,
"https://stacks.stanford.edu/image/iiif/sp968bx9690%2F050_57_R_TC_46/2765,4132,837,152/pct:40/0/default.jpg",,50,57 R,2765,4132,837,152,
"https://stacks.stanford.edu/image/iiif/hp566jq8781%2F367_091_R_TC_46/535,5055,785,155/pct:40/0/default.jpg",,367,91 R,535,5055,785,155,
"https://stacks.stanford.edu/image/iiif/jm097by4127%2F511_008_V_TC_46/1647,6050,1522,150/pct:40/0/default.jpg",,511,8 V,1647,6050,1522,150,
"https://stacks.stanford.edu/image/iiif/kz066hg9217%2F075_031_V_TC_46/4707,5462,552,97/pct:40/0/default.jpg",,75,31 V,4707,5462,552,97,
"https://stacks.stanford.edu/image/iiif/jz069xd3008%2F269_57_V_TC_46/1400,4617,3512,175/pct:40/0/default.jpg",,269,57 V,1400,4617,3512,175,
"https://stacks.stanford.edu/image/iiif/qd947xd9843%2F483_063_R_TC_46/310,3217,970,110/pct:40/0/default.jpg",,483,63 R,310,3217,970,110,
"https://stacks.stanford.edu/image/iiif/sk997cn6567%2F230_061_R_TC_46/1155,5217,1127,122/pct:40/0/default.jpg",,230,61 R,1155,5217,1127,122,
"https://stacks.stanford.edu/image/iiif/js431dq0778%2F321_089_V_TC_46/3395,1000,222,105/pct:40/0/default.jpg",,321,89 V,3395,1000,222,105,
"https://stacks.stanford.edu/image/iiif/sz190cj0067%2F204_64_R_TC_46/1490,2965,502,115/pct:40/0/default.jpg",,204,64 R,1490,2965,502,115,
"https://stacks.stanford.edu/image/iiif/bt590jk0961%2F481_283_TC_46/1455,907,235,110/pct:40/0/default.jpg",,481,283,1455,907,235,110,
"https://stacks.stanford.edu/image/iiif/jj576yk1988%2F380_009_V_TC_46/1257,1377,2250,147/pct:40/0/default.jpg",,380,9 V,1257,1377,2250,147,
