URL,letter,primary_color,secondary_colors,class,is_error,error_type,ms_no,folio,x,y,w,h,notes
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_008_V_TC_46/3392,1017,410,4080/pct:40/0/default.jpg",I,blue,red,M,,,10,8 V,3392,1017,410,4080,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_017_R_TC_46/280,4697,332,460/pct:40/0/default.jpg",H,blue,red,D,,,10,17 R,280,4697,332,460,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_018_R_TC_46/3877,2332,485,865/pct:40/0/default.jpg",,,,,T,IN,10,18 R,3877,2332,485,865,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_028_R_TC_46/1877,4147,312,1657/pct:40/0/default.jpg",T,blue,red,D,,,10,28 R,1877,4147,312,1657,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_031_R_TC_46/2042,4212,300,1212/pct:40/0/default.jpg",P,blue,red,D,,,10,31 R,2042,4212,300,1212,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_032_V_TC_46/3932,1517,347,765/pct:40/0/default.jpg",P,blue,red,D,,,10,32 V,3932,1517,347,765,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_035_R_TC_46/315,3532,205,367/pct:40/0/default.jpg",S,blue,red,D,,,10,35 R,315,3532,205,367,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_037_V_TC_46/1765,5385,392,677/pct:40/0/default.jpg",L,blue,red,D,,,10,37 V,1765,5385,392,677,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_037_V_TC_46/3662,607,395,955/pct:40/0/default.jpg",H,blue,red,D,,,10,37 V,3662,607,395,955,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_042_V_TC_46/1975,842,380,1130/pct:40/0/default.jpg",N,red,blue,D,,,10,42 V,1975,842,380,1130,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_059_V_TC_46/3697,1232,337,610/pct:40/0/default.jpg",P,blue,red,D,,,10,59 V,3697,1232,337,610,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_067_R_TC_46/2035,7000,300,380/pct:40/0/default.jpg",D,blue,red,D,,,10,67 R,2035,7000,300,380,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_069_R_TC_46/2925,2462,1030,345/pct:40/0/default.jpg",,,,,T,IN,10,69 R,2925,2462,1030,345,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_069_V_TC_46/987,4835,872,972/pct:40/0/default.jpg",,,,,T,IN,10,69 V,987,4835,872,972,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_074_R_TC_46/347,525,280,527/pct:40/0/default.jpg",U,blue,red,D,,,10,74 R,347,525,280,527,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_076_R_TC_46/175,1162,485,1060/pct:40/0/default.jpg",M,red,blue,D,,,10,76 R,175,1162,485,1060,
"https://stacks.stanford.edu/image/iiif/qx973nn9218%2F010_080_R_TC_46/2057,2452,325,462/pct:40/0/default.jpg",V,blue,red,D,,,10,80 R,2057,2452,325,462,
